         27639943 function calls (27011647 primitive calls) in 586.540 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000 1004.784  111.643 c:\Users\paula\.vscode\extensions\ms-python.debugpy-2024.14.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_net_command.py:104(send)
       18    0.000    0.000 1004.784   55.821 {method 'sendall' of '_socket.socket' objects}
    13467    0.285    0.000  819.824    0.061 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\connection.py:202(send)
     8453    0.147    0.000  588.634    0.070 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\pool.py:500(_wait_for_updates)
    13443    0.231    0.000  537.477    0.040 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\pool.py:853(next)
     8453    0.018    0.000  514.757    0.061 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\pool.py:333(_maintain_pool)
     8453    0.092    0.000  503.445    0.060 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\pool.py:289(_join_exited_workers)
        2    0.000    0.000  503.443  251.722 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\util.py:208(__call__)
   202896    0.209    0.000  503.342    0.002 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\process.py:224(exitcode)
        1    0.000    0.000  502.846  502.846 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\pool.py:738(__exit__)
        1    0.000    0.000  502.846  502.846 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\pool.py:654(terminate)
      3/1    0.000    0.000  502.392  502.392 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\threading.py:1001(run)
        1    0.000    0.000  502.392  502.392 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\pool.py:527(_handle_tasks)
        1    0.000    0.000  502.390  502.390 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\pool.py:573(_handle_results)
    13445    0.285    0.000  187.686    0.014 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\connection.py:246(recv)
    13475    0.139    0.000  136.786    0.010 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\connection.py:284(_send_bytes)
    16907    0.137    0.000  132.984    0.008 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\connection.py:1010(_exhaustive_wait)
8198/5359    0.200    0.000  125.575    0.023 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\queue.py:154(get)
13450/13448    0.153    0.000  123.860    0.009 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\connection.py:310(_recv_bytes)
    13442    0.052    0.000   77.591    0.006 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\io\parsers\readers.py:868(read_csv)
    13442    0.159    0.000   77.257    0.006 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\io\parsers\readers.py:583(_read)
    13442    0.080    0.000   61.960    0.005 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\io\parsers\readers.py:1575(__init__)
    13442    0.172    0.000   59.658    0.004 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\io\parsers\readers.py:1848(_make_engine)
    13443    0.144    0.000   56.449    0.004 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\io\common.py:664(get_handle)
    13468   55.322    0.004   55.471    0.004 {built-in method _io.open}
    16907    0.218    0.000   15.338    0.001 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\connection.py:1032(wait)
    13442    0.104    0.000   14.750    0.001 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\io\parsers\readers.py:1907(read)
    13442    0.068    0.000   11.069    0.001 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\frame.py:694(__init__)
    13442    0.153    0.000   10.850    0.001 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\internals\construction.py:423(dict_to_mgr)
40326/26884    0.339    0.000    7.640    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\series.py:389(__init__)
    13442    0.067    0.000    4.210    0.000 C:\Users\paula\OneDrive\Documents\Financial Modelling Package\financial_modelling\data_post_processing\fit_quality_alternative_multi.py:137(update_progress_bar)
    13442    0.059    0.000    4.085    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\series.py:607(_init_dict)
   134421    0.185    0.000    3.428    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\indexes\base.py:7593(ensure_index)
    13442    0.078    0.000    3.346    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\tqdm\std.py:1198(update)
     3166    0.026    0.000    3.201    0.001 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\tqdm\std.py:1325(refresh)
    40326    1.047    0.000    3.139    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\indexes\base.py:475(__new__)
     3167    0.028    0.000    3.003    0.001 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\tqdm\std.py:1464(display)
    13442    1.383    0.000    2.973    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:60(__init__)
    13442    1.140    0.000    2.928    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:222(read)
    53785    0.165    0.000    2.298    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\generic.py:6301(__setattr__)
   120978    0.562    0.000    2.283    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\construction.py:517(sanitize_array)
    53768    1.924    0.000    1.978    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\series.py:734(name)
     3167    0.016    0.000    1.890    0.001 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\tqdm\std.py:457(print_status)
      2/1    0.076    0.038    1.871    1.871 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\context.py:49(Manager)
 24821/36    0.482    0.000    1.839    0.051 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\threading.py:323(wait)
      2/1    0.000    0.000    1.795    1.795 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\managers.py:535(start)
    13442    0.007    0.000    1.761    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\series.py:5773(isna)
    13442    0.015    0.000    1.754    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\generic.py:8693(isna)
    26936    0.010    0.000    1.673    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\dtypes\missing.py:101(isna)
    26936    0.074    0.000    1.663    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\dtypes\missing.py:184(_isna)
     3167    0.036    0.000    1.550    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\tqdm\std.py:451(fp_write)
     6336    0.015    0.000    1.482    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\tqdm\utils.py:194(inner)
     3169    1.449    0.000    1.449    0.000 {method 'write' of '_io.TextIOWrapper' objects}
